2.584981	2.870000	2
4.975714	5.270000	3
7.355940	7.613205	4
9.676567	9.989231	5
12.133718	12.400171	6
14.563552	14.842350	7
16.924402	17.284530	8
19.384915	19.720000	9
21.674573	22.099344	10
24.138803	24.502000	
26.535043	26.865000	
28.918419	29.300000	17
31.323846	31.735873	18
33.710897	34.110000	20
36.186154	36.540000	22
38.505214	38.900000	23
40.943718	41.314104	24
43.391815	43.740000	26
45.692896	46.110000	28
52.949768	53.230000	29
72.148000	72.587308	
74.501236	74.970000	41
76.915000	77.602000	lip-bass
79.304000	79.652906	lip-bass
81.700000	82.036282	lip-bass
84.131154	85.166000	lip-bass
86.402000	86.740000	49
88.844615	89.107393	50
91.222000	91.530000	51
93.662000	93.920000	52
98.612780	99.210000	55
101.013475	101.810000	56
