0.087800	0.087800	
0.420000	0.420000	S
0.700000	0.700000	S
1.000000	1.000000	S
1.290000	1.290000	S
1.580000	1.580000	S
1.700862	1.700862	
1.859048	1.859048	
2.170000	2.170000	S
2.470000	2.470000	S
2.613696	2.613696	
2.764626	2.764626	
2.919909	2.919909	
3.070839	3.070839	
3.370000	3.370000	S
3.670000	3.670000	S
3.980000	3.980000	S
4.124444	4.124444	
4.291338	4.291338	
4.560000	4.560000	S
4.850000	4.850000	S
5.170000	5.170000	S
5.321723	5.321723	
5.391383	5.391383	
5.450884	5.450884	
5.780000	5.780000	S
6.090000	6.090000	S
6.360000	6.360000	S
6.513197	6.513197	
6.680000	6.680000	S
6.990000	6.990000	S
7.280000	7.280000	S
7.590000	7.590000	S
7.812063	7.812063	
7.870113	7.870113	
7.936871	7.936871	
8.015238	8.015238	
8.200000	8.200000	S
8.380000	8.380000	S
8.454966	8.454966	
8.618957	8.618957	
8.762630	8.762630	
8.912109	8.912109	
9.070000	9.070000	S
9.212154	9.212154	
9.358005	9.358005	
9.664218	9.664218	S
9.970000	9.970000	S
10.115193	10.115193	
10.263583	10.263583	
10.560000	10.560000	S
10.870000	10.870000	S
11.004082	11.004082	
11.160000	11.160000	S
11.450000	11.450000	S
11.770000	11.770000	S
11.919456	11.919456	
12.080000	12.080000	S
12.212971	12.212971	
12.360000	12.360000	S
12.650000	12.650000	S
12.782948	12.782948	
13.110000	13.110000	S
13.260000	13.260000	S
13.710000	13.710000	S
14.170000	14.170000	S
14.759546	14.759546	S
14.917370	14.917370	
15.053424	15.053424	
15.220000	15.220000	S
15.380000	15.380000	S
15.650000	15.650000	S
15.810000	15.810000	S
15.960000	15.960000	S
16.270000	16.270000	S
16.410000	16.410000	S
17.180000	17.180000	S
17.610000	17.610000	S
18.080000	18.080000	S
18.390000	18.390000	S
18.693515	18.693515	
19.304853	19.304853	S
19.650000	19.650000	S
20.441905	20.441905	S
21.036916	21.036916	S
21.410000	21.410000	S
22.820000	22.820000	S
22.918095	22.918095	
23.150000	23.150000	S
24.020000	24.020000	S
24.410000	24.410000	S
25.210000	25.210000	S
25.835828	25.835828	S
26.220000	26.220000	S
27.560000	27.560000	S
27.627029	27.627029	
27.937959	27.937959	
28.780000	28.780000	S
29.200000	29.200000	S
30.000000	30.000000	S
30.610000	30.610000	S
31.000000	31.000000	S
32.401270	32.401270	S
33.602177	33.602177	S
34.030000	34.030000	S
34.850000	34.850000	S
35.416961	35.416961	S
35.810000	35.810000	S
37.200000	37.200000	S
37.660000	37.660000	S
38.368798	38.368798	
38.860000	38.860000	S
39.630000	39.630000	S
40.210000	40.210000	S
40.620000	40.620000	S
41.440000	41.440000	S
42.030000	42.030000	S
42.640000	42.640000	S
43.280000	43.280000	S
43.720000	43.720000	S
44.180000	44.180000	S
44.480000	44.480000	S
45.030000	45.030000	S
45.480000	45.480000	S
46.250000	46.250000	S
46.830000	46.830000	S
47.140000	47.140000	S
47.430000	47.430000	S
47.800000	47.800000	S
48.054059	48.054059	
48.540000	48.540000	S
48.990000	48.990000	S
49.280000	49.280000	S
49.840000	49.840000	S
50.290000	50.290000	S
51.060000	51.060000	S
51.490000	51.490000	S
51.650249	51.650249	
51.931429	51.931429	
52.226395	52.226395	
52.526077	52.526077	
52.840000	52.840000	S
53.340000	53.340000	S
53.770000	53.770000	S
54.060000	54.060000	S
54.330000	54.330000	S
54.630000	54.630000	S
55.120000	55.120000	S
55.590000	55.590000	S
56.450000	56.450000	S
56.770000	56.770000	S
57.028934	57.028934	 
57.650000	57.650000	S
58.090000	58.090000	S
58.420000	58.420000	S
58.570000	58.570000	S
58.819048	58.819048	
59.330000	59.330000	S
59.760000	59.760000	S
60.049705	60.049705	
60.530000	60.530000	S
60.950000	60.950000	S
61.192200	61.192200	
61.730000	61.730000	S
62.170000	62.170000	S
62.480000	62.480000	S
62.940000	62.940000	S
63.370000	63.370000	S
63.639365	63.639365	
64.140000	64.140000	S
64.570000	64.570000	S
64.870023	64.870023	
65.380000	65.380000	S
65.770000	65.770000	S
65.974785	65.974785	
66.151474	66.151474	
66.530000	66.530000	S
66.960000	66.960000	S
67.273288	67.273288	
67.740000	67.740000	S
68.180000	68.180000	S
68.428844	68.428844	
68.940000	68.940000	S
69.380000	69.380000	S
69.650000	69.650000	S
69.819138	69.819138	
70.140000	70.140000	S
70.570000	70.570000	S
70.793288	70.793288	 
70.980136	70.980136	
71.300000	71.300000	S
71.730000	71.730000	S
72.015964	72.015964	 
72.162540	72.162540	
72.531519	72.531519	S
72.968345	72.968345	S
73.187846	73.187846	
73.372154	73.372154	
73.760000	73.760000	S
74.190000	74.190000	S
74.490000	74.490000	S
74.910000	74.910000	S
75.322993	75.322993	
75.626304	75.626304	
75.763084	75.763084	
75.922721	75.922721	
76.083810	76.083810	
76.240181	76.240181	
76.563810	76.563810	
